statute_number,section_title,popular_name,full_text_of_naming_clause,url
31-755,Improvements; bonds; warrants; procedure; issuance; negotiability; extension of due date; hearing; interest; levy; sinking fund; tax.,sanitary and improvement district bond tax levy,Such tax levy shall be known as the sanitary and improvement district bond tax levy and shall be payable annually in money.,https://nebraskalegislature.gov/laws/statutes.php?statute=31-755
31-779,Administrator; levy; administration tax; use; administrator; fee; expenses.,administration tax and which shall be separately accounted for by the treasurer of the district,(1) The administrator may levy a separate tax upon the taxable value of the taxable property in the district which shall be known as the administration tax and which shall be separately accounted for by the treasurer of the district.,https://nebraskalegislature.gov/laws/statutes.php?statute=31-779
31-933,"Act, how cited.",County Drainage Act,Sections 31-901 to 31-933 shall be known and may be cited as the County Drainage Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=31-933
32-101,"Act, how cited.",Election Act,Sections 32-101 to 32-1552 shall be known and may be cited as the Election Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=32-101
32-540,Metropolitan utilities district; board of directors; election subdivisions; board; duties; nonpartisan ballot; terms; qualifications.,outside member,"(1) Except as otherwise provided in subsection (2) of this section, in each metropolitan utilities district service area, two of the members of the board of directors shall be chosen at large by the registered voters within the district at the time of the statewide primary and statewide general elections held in the even-numbered years, except that at the primary and general elections held in 1978 and every six years thereafter, three members, one of whom shall be known as the outside member, shall be elected at large by the registered voters within the district.",https://nebraskalegislature.gov/laws/statutes.php?statute=32-540
33-131,County officers; records; duties.,fee book,"The sheriffs, county judges, county treasurers, county clerks, and registers of deeds of the several counties of the state shall each keep a book, unless authorized to use a computerized system, which shall be provided by the county, which shall be known as the fee book, which shall be a part of the records of such office, and in which shall be entered each and every item of fees collected showing in separate columns the name of the party from whom received, the date of receiving the same, the amount received, and for what service the same was charged.",https://nebraskalegislature.gov/laws/statutes.php?statute=33-131
35-1002,"Act, how cited.",Firefighter Cancer Benefits Act,Sections 35-1002 to 35-1010 shall be known and may be cited as the Firefighter Cancer Benefits Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=35-1002
35-1201,"Act, how cited.",Mutual Finance Assistance Act,Sections 35-1201 to 35-1207 shall be known and may be cited as the Mutual Finance Assistance Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=35-1201
35-1301,"Act, how cited.",Volunteer Emergency Responders Recruitment and Retention Act,Sections 35-1301 to 35-1330 shall be known and may be cited as the Volunteer Emergency Responders Recruitment and Retention Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=35-1301
35-1401,"Act, how cited.",Volunteer Emergency Responders Job Protection Act,Sections 35-1401 to 35-1408 shall be known and may be cited as the Volunteer Emergency Responders Job Protection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=35-1401
36-801,Short title.,Uniform Voidable Transactions Act,Sections 36-801 to 36-815 shall be known and may be cited as the Uniform Voidable Transactions Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=36-801
37-1001,"Act, how cited; termination.",Trail Development Assistance Act,Sections 37-1001 to 37-1008 shall be known and may be cited as the Trail Development Assistance Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=37-1001
37-1201,"Act, how cited; declaration of policy.",State Boat Act,"Sections 37-1201 to 37-12,110 shall be known and may be cited as the State Boat Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=37-1201
37-1301,"Act, how cited.",Nebraska Shooting Range Protection Act,Sections 37-1301 to 37-1310 shall be known and may be cited as the Nebraska Shooting Range Protection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=37-1301
37-1701,"Act, how cited.",State Park System Construction Alternatives Act,Sections 37-1701 to 37-1732 shall be known and may be cited as the State Park System Construction Alternatives Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=37-1701
37-1801,"Act, how cited.",Water Recreation Enhancement Act,Sections 37-1801 to 37-1803 shall be known and may be cited as the Water Recreation Enhancement Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=37-1801
37-201,"Law, how cited.",Game Law,Sections 37-201 to 37-814 and 37-1501 to 37-1510 and the State Park System Construction Alternatives Act shall be known and may be cited as the Game Law.,https://nebraskalegislature.gov/laws/statutes.php?statute=37-201
37-716,Nebraska Natural Areas Register; created; registration; criteria.,Nebraska Natural Areas Register,(1) The commission shall create and maintain a state register of those natural areas which possess significant natural heritage resources which shall be known as the Nebraska Natural Areas Register.,https://nebraskalegislature.gov/laws/statutes.php?statute=37-716
37-801,"Act, how cited.",Nongame and Endangered Species Conservation Act,Sections 37-801 to 37-814 shall be known and may be cited as the Nongame and Endangered Species Conservation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=37-801
38-1001,"Act, how cited.","Cosmetology, Electrology, Esthetics, Nail Technology","Sections 38-1001 to 38-10,172 shall be known and may be cited as the Cosmetology, Electrology, Esthetics, Nail Technology, and Body Art Practice Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=38-1001
38-101,"Act, how cited.",Uniform Credentialing Act,"Sections 38-101 to 38-1,148 and the following practice acts shall be known and may be cited as the Uniform Credentialing Act: (1) The Advanced Practice Registered Nurse Practice Act; (2) The Alcohol and Drug Counseling Practice Act; (3) The Athletic Training Practice Act; (4) The Audiology and Speech-Language Pathology Practice Act; (5) The Behavior Analyst Practice Act; (6) The Certified Nurse Midwifery Practice Act; (7) The Certified Registered Nurse Anesthetist Practice Act; (8) The Chiropractic Practice Act; (9) The Clinical Nurse Specialist Practice Act; (10) The Cosmetology, Electrology, Esthetics, Nail Technology, and Body Art Practice Act; (11) The Dentistry Practice Act; (12) The Dialysis Patient Care Technician Registration Act; (13) The Emergency Medical Services Practice Act; (14) The Environmental Health Specialists Practice Act; (15) The Funeral Directing and Embalming Practice Act; (16) The Genetic Counseling Practice Act; (17) The Hearing Instrument Specialists Practice Act; (18) The Licensed Practical Nurse-Certified Practice Act until November 1, 2017; (19) The Massage Therapy Practice Act; (20) The Medical Nutrition Therapy Practice Act; (21) The Medical Radiography Practice Act; (22) The Medicine and Surgery Practice Act; (23) The Mental Health Practice Act; (24) The Nurse Practice Act; (25) The Nurse Practitioner Practice Act; (26) The Nursing Home Administrator Practice Act; (27) The Occupational Therapy Practice Act; (28) The Optometry Practice Act; (29) The Perfusion Practice Act; (30) The Pharmacy Practice Act; (31) The Physical Therapy Practice Act; (32) The Podiatry Practice Act; (33) The Psychology Practice Act; (34) The Respiratory Care Practice Act; (35) The Surgical First Assistant Practice Act; and (36) The Veterinary Medicine and Surgery Practice Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=38-101
38-1101,"Act, how cited.",Dentistry Practice Act,Sections 38-1101 to 38-1153 shall be known and may be cited as the Dentistry Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-1101
38-1149,Office of Oral Health and Dentistry; Dental Health Director; appointment.,Dental Health Director,The head of such office shall be known as the Dental Health Director and shall be appointed by the department.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-1149
38-1201,"Act, how cited.",Emergency Medical Services Practice Act,Sections 38-1201 to 38-1239 shall be known and may be cited as the Emergency Medical Services Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-1201
38-1301,"Act, how cited.",Environmental Health Specialists Practice Act,Sections 38-1301 to 38-1315 shall be known and may be cited as the Environmental Health Specialists Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-1301
38-1401,"Act, how cited.",Funeral Directing and Embalming Practice Act,Sections 38-1401 to 38-1432 shall be known and may be cited as the Funeral Directing and Embalming Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-1401
38-1501,"Act, how cited.",Hearing Instrument Specialists Practice Act,Sections 38-1501 to 38-1528 shall be known and may be cited as the Hearing Instrument Specialists Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-1501
38-1701,"Act, how cited.",Massage Therapy Practice Act,Sections 38-1701 to 38-1725 shall be known and may be cited as the Massage Therapy Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-1701
38-1801,"Act, how cited.",Medical Nutrition Therapy Practice Act,Sections 38-1801 to 38-1823 shall be known and may be cited as the Medical Nutrition Therapy Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-1801
38-1901,"Act, how cited.",Medical Radiography Practice Act,Sections 38-1901 to 38-1920 shall be known and may be cited as the Medical Radiography Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-1901
38-2001,"Act, how cited.",Medicine and Surgery Practice Act,Sections 38-2001 to 38-2064 shall be known and may be cited as the Medicine and Surgery Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-2001
38-201,"Act, how cited.",Advanced Practice Registered Nurse Practice Act,Sections 38-201 to 38-213 shall be known and may be cited as the Advanced Practice Registered Nurse Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-201
38-2101,"Act, how cited.",Mental Health Practice Act,Sections 38-2101 to 38-2147 shall be known and may be cited as the Mental Health Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-2101
38-2201,"Act, how cited.",Nurse Practice Act,Sections 38-2201 to 38-2238 shall be known and may be cited as the Nurse Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-2201
38-2301,"Act, how cited.",Nurse Practitioner Practice Act,Sections 38-2301 to 38-2324 shall be known and may be cited as the Nurse Practitioner Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-2301
38-2401,"Act, how cited.",Nursing Home Administrator Practice Act,Sections 38-2401 to 38-2426 shall be known and may be cited as the Nursing Home Administrator Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-2401
38-2501,"Act, how cited.",Occupational Therapy Practice Act,Sections 38-2501 to 38-2531 shall be known and may be cited as the Occupational Therapy Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-2501
38-2601,"Act, how cited.",Optometry Practice Act,Sections 38-2601 to 38-2623 shall be known and may be cited as the Optometry Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-2601
38-2701,"Act, how cited.",Perfusion Practice Act,Sections 38-2701 to 38-2711 shall be known and may be cited as the Perfusion Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-2701
"38-28,108","Nebraska Drug Product Selection Act; act, how cited.",Nebraska Drug Product Selection Act,"Sections 38-28,108 to 38-28,116 shall be known and may be cited as the Nebraska Drug Product Selection Act.","https://nebraskalegislature.gov/laws/statutes.php?statute=38-28,108"
38-2801,"Act, how cited.",Pharmacy Practice Act,"Sections 38-2801 to 38-28,117 and the Nebraska Drug Product Selection Act shall be known and may be cited as the Pharmacy Practice Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=38-2801
38-2901,"Act, how cited.",Physical Therapy Practice Act,Sections 38-2901 to 38-2929 shall be known and may be cited as the Physical Therapy Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-2901
38-3001,"Act, how cited.",Podiatry Practice Act,Sections 38-3001 to 38-3014 shall be known and may be cited as the Podiatry Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-3001
38-301,"Act, how cited.",Alcohol and Drug Counseling Practice Act,Sections 38-301 to 38-321 shall be known and may be cited as the Alcohol and Drug Counseling Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-301
38-3101,"Act, how cited.",Psychology Practice Act,Sections 38-3101 to 38-3133 shall be known and may be cited as the Psychology Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-3101
38-3201,"Act, how cited.",Respiratory Care Practice Act,Sections 38-3201 to 38-3216 shall be known and may be cited as the Respiratory Care Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-3201
38-3301,"Act, how cited.",Veterinary Medicine and Surgery Practice Act,Sections 38-3301 to 38-3335 shall be known and may be cited as the Veterinary Medicine and Surgery Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-3301
38-3401,"Act, how cited.",Genetic Counseling Practice Act,Sections 38-3401 to 38-3425 shall be known and may be cited as the Genetic Counseling Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-3401
38-3501,"Act, how cited.",Surgical First Assistant Practice Act,Sections 38-3501 to 38-3517 shall be known and may be cited as the Surgical First Assistant Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-3501
38-3601,Compact; citation.,Interstate Medical Licensure Compact,Sections 38-3601 to 38-3625 shall be known and may be cited as the Interstate Medical Licensure Compact.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-3601
38-3701,"Act, how cited.",Dialysis Patient Care Technician Registration Act,Sections 38-3701 to 38-3707 shall be known and may be cited as the Dialysis Patient Care Technician Registration Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-3701
38-401,"Act, how cited.",Athletic Training Practice Act,Sections 38-401 to 38-414 shall be known and may be cited as the Athletic Training Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-401
38-4401,"Act, how cited.",Behavior Analyst Practice Act,Sections 38-4401 to 38-4414 shall be known and may be cited as the Behavior Analyst Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-4401
38-4501,Social Worker Licensure Compact.,Social Worker Licensure Compact,This section shall be known and may be cited as the Social Worker Licensure Compact.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-4501
38-4601,Physician Assistant (PA) Licensure Compact.,Physician Assistant (PA) Licensure Compact,This section shall be known and may be cited as the Physician Assistant (PA) Licensure Compact.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-4601
38-4701,Dietitian Licensure Compact.,Dietitian Licensure Compact,This section shall be known and may be cited as the Dietitian Licensure Compact.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-4701
38-4801,Dentist and Dental Hygienist Compact.,Dentist and Dental Hygienist Compact,This section shall be known and may be cited as the Dentist and Dental Hygienist Compact.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-4801
38-4901,School Psychologist Interstate Licensure Compact.,School Psychologist Interstate Licensure Compact,This section shall be known and cited as the School Psychologist Interstate Licensure Compact.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-4901
38-4901,School Psychologist Interstate Licensure Compact.,School Psychologist Interstate Licensure Compact Commission,"The Member States hereby create and establish a joint government agency whose membership consists of all Member States that have enacted the Compact, and this agency shall be known as the School Psychologist Interstate Licensure Compact Commission.",https://nebraskalegislature.gov/laws/statutes.php?statute=38-4901
38-501,"Act, how cited.",Audiology and Speech-Language Pathology Practice Act,Sections 38-501 to 38-527 shall be known and may be cited as the Audiology and Speech-Language Pathology Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-501
38-601,"Act, how cited.",Certified Nurse Midwifery Practice Act,Sections 38-601 to 38-618 shall be known and may be cited as the Certified Nurse Midwifery Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-601
38-701,"Act, how cited.",Certified Registered Nurse Anesthetist Practice Act,Sections 38-701 to 38-711 shall be known and may be cited as the Certified Registered Nurse Anesthetist Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-701
38-801,"Act, how cited.",Chiropractic Practice Act,Sections 38-801 to 38-811 shall be known and may be cited as the Chiropractic Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-801
38-901,"Act, how cited.",Clinical Nurse Specialist Practice Act,Sections 38-901 to 38-910 shall be known and may be cited as the Clinical Nurse Specialist Practice Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=38-901
39-1655,"Act, how cited.",Rural Road Improvement District Act,Sections 39-1638 to 39-1655 shall be known as the Rural Road Improvement District Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=39-1655
39-2222,"Act, how cited.",Nebraska Highway Bond Act,Sections 39-2201 to 39-2226 shall be known and may be cited as the Nebraska Highway Bond Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=39-2222
39-2301,"Act, how cited; legislative findings.",County Highway and City Street Superintendents Act,(1) Sections 39-2301 to 39-2311 shall be known and may be cited as the County Highway and City Street Superintendents Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=39-2301
39-2701,"Act, how cited.",Build Nebraska Act,Sections 39-2701 to 39-2705 shall be known and may be cited as the Build Nebraska Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=39-2701
39-2801,"Act, how cited.",Transportation Innovation Act,Sections 39-2801 to 39-2825 shall be known and may be cited as the Transportation Innovation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=39-2801
"39-8,122","Act, how cited.",Interstate Bridge Act of 1959,"Sections 39-891 to 39-8,122 shall be known and cited as The Interstate Bridge Act of 1959.","https://nebraskalegislature.gov/laws/statutes.php?statute=39-8,122"
42-1001,"Act, how cited.",Uniform Premarital Agreement Act,Sections 42-1001 to 42-1011 shall be known and may be cited as the Uniform Premarital Agreement Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=42-1001
42-1101,"Act, how cited.",Spousal Pension Rights Act,Sections 42-1101 to 42-1113 shall be known and may be cited as the Spousal Pension Rights Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=42-1101
42-1201,"Act, how cited.",Address Confidentiality Act,Sections 42-1201 to 42-1210 shall be known and may be cited as the Address Confidentiality Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=42-1201
42-344,"Act, how cited.",Uniform Divorce Recognition Act,Sections 42-341 to 42-344 may be cited as the Uniform Divorce Recognition Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=42-344
42-701,"Act, how cited.",Uniform Interstate Family Support Act,01 shall be known and may be cited as the Uniform Interstate Family Support Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=42-701
42-802,"Act, how cited.",Conciliation Court Law,Sections 42-801 to 42-823 may be cited as the Conciliation Court Law.,https://nebraskalegislature.gov/laws/statutes.php?statute=42-802
42-901,"Act, how cited.",Protection from Domestic Abuse Act,Sections 42-901 to 42-930 shall be known and may be cited as the Protection from Domestic Abuse Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=42-901
42-932,"Act, how cited.",Uniform Interstate Enforcement of Domestic Violence Protection Orders Act,Sections 42-932 to 42-940 shall be known and may be cited as the Uniform Interstate Enforcement of Domestic Violence Protection Orders Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=42-932
43-1226,"Act, how cited.",Uniform Child Custody Jurisdiction and Enforcement Act,Sections 43-1226 to 43-1266 shall be known and may be cited as the Uniform Child Custody Jurisdiction and Enforcement Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-1226
43-1318,"Act, how cited.",Foster Care Review Act,Sections 43-1301 to 43-1321 shall be known and may be cited as the Foster Care Review Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-1318
43-1501,"Act, how cited.",Nebraska Indian Child Welfare Act,Sections 43-1501 to 43-1517 shall be known and may be cited as the Nebraska Indian Child Welfare Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-1501
43-1701,"Act, how cited.",Income Withholding for Child Support Act,Sections 43-1701 to 43-1743 shall be known and may be cited as the Income Withholding for Child Support Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-1701
"43-2,129","Code, how cited.",Nebraska Juvenile Code,"Sections 43-245 to 43-2,129 shall be known and may be cited as the Nebraska Juvenile Code.","https://nebraskalegislature.gov/laws/statutes.php?statute=43-2,129"
43-2001,"Act, how cited.",Missing Children Identification Act,Sections 43-2001 to 43-2012 shall be known and may be cited as the Missing Children Identification Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-2001
43-2401,"Act, how cited.",Juvenile Services Act,Sections 43-2401 to 43-2412 shall be known and may be cited as the Juvenile Services Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-2401
43-2501,"Act, how cited.",Early Intervention Act,Sections 43-2501 to 43-2516 shall be known and may be cited as the Early Intervention Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-2501
43-2601,"Quality Child Care Act, how cited.",Quality Child Care Act,Sections 43-2601 to 43-2625 shall be known and may be cited as the Quality Child Care Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-2601
43-2626,"Child Care Capacity Building and Workforce Act, how cited.",Child Care Capacity Building and Workforce Act,Sections 43-2626 to 43-2639 shall be known and may be cited as the Child Care Capacity Building and Workforce Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-2626
43-2701,"Act, how cited.",Nebraska Uniform Transfers to Minors Act,Sections 43-2701 to 43-2724 shall be known and may be cited as the Nebraska Uniform Transfers to Minors Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-2701
43-2920,"Act, how cited.",Parenting Act,Sections 43-2920 to 43-2943 shall be known and may be cited as the Parenting Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-2920
43-3301,"Act, how cited.",License Suspension Act,Sections 43-3301 to 43-3325 shall be known and may be cited as the License Suspension Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-3301
43-3501,"Act, how cited.",Nebraska County Juvenile Services Plan Act,Sections 43-3501 to 43-3507 shall be known and may be cited as the Nebraska County Juvenile Services Plan Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-3501
43-3701,"Act, how cited.",Court Appointed Special Advocate Act,Sections 43-3701 to 43-3720 shall be known and may be cited as the Court Appointed Special Advocate Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-3701
43-3901,"Act, how cited.",Uniform Child Abduction Prevention Act,Sections 43-3901 to 43-3912 may be cited as the Uniform Child Abduction Prevention Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-3901
43-401,"Act, how cited.","Health and Human Services, Office of Juvenile Services Act","Sections 43-401 to 43-431 shall be known and may be cited as the Health and Human Services, Office of Juvenile Services Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=43-401
43-4501,"Act, how cited.",Young Adult Bridge to Independence Act,Sections 43-4501 to 43-4514 shall be known and may be cited as the Young Adult Bridge to Independence Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-4501
43-4601,"Act, how cited.",Uniform Deployed Parents Custody and Visitation Act,Sections 43-4601 to 43-4630 shall be known and may be cited as the Uniform Deployed Parents Custody and Visitation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-4601
43-4701,"Act, how cited.",Nebraska Strengthening Families Act,Sections 43-4701 to 43-4716 shall be known and may be cited as the Nebraska Strengthening Families Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-4701
43-4901,"Act, how cited.",Newborn Safe Haven Act,Sections 43-4901 to 43-4903 shall be known and may be cited as the Newborn Safe Haven Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=43-4901
44-1101,"Act, how cited.",Viatical Settlements Act,Sections 44-1101 to 44-1117 shall be known and may be cited as the Viatical Settlements Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-1101
44-1301,"Act, how cited.",Health Carrier External Review Act,Sections 44-1301 to 44-1318 shall be known and may be cited as the Health Carrier External Review Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-1301
44-1401,"Act, how cited.",Nebraska Right to Shop Act,Sections 44-1401 to 44-1414 shall be known and may be cited as the Nebraska Right to Shop Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-1401
44-1521,"Act, how cited.",Unfair Insurance Trade Practices Act,Sections 44-1521 to 44-1535 shall be known and may be cited as the Unfair Insurance Trade Practices Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-1521
44-1536,"Act, how cited.",Unfair Insurance Claims Settlement Practices Act,Sections 44-1536 to 44-1544 shall be known and may be cited as the Unfair Insurance Claims Settlement Practices Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-1536
44-1806,"Act, how cited.",Unauthorized Insurers False Advertising Process Act,Sections 44-1801 to 44-1806 shall be known and may be cited as the Unauthorized Insurers False Advertising Process Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-1806
"44-19,106","Act, how cited.",Title Insurance Agent Act,"Sections 44-19,106 to 44-19,123 shall be known and may be cited as the Title Insurance Agent Act.","https://nebraskalegislature.gov/laws/statutes.php?statute=44-19,106"
44-1978,"Act, how cited.",Title Insurers Act,"Sections 44-1978 to 44-19,105 shall be known and may be cited as the Title Insurers Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=44-1978
44-2008,"Act, how cited.",Unauthorized Insurers Act,Sections 44-2001 to 44-2008 shall be known and may be cited as the Unauthorized Insurers Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-2008
44-2009,"Act, how cited.",Unauthorized Insurers Process Act,Sections 44-2009 to 44-2013 shall be known and may be cited as the Unauthorized Insurers Process Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-2009
44-2120,"Act, how cited.",Insurance Holding Company System Act,Sections 44-2120 to 44-2155 shall be known and may be cited as the Insurance Holding Company System Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-2120
44-2418,"Act, how cited.",Nebraska Property and Liability Insurance Guaranty Association Act,Sections 44-2401 to 44-2419 shall be known and may be cited as the Nebraska Property and Liability Insurance Guaranty Association Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-2418
44-248,"Plan of exchange; act, how cited.",Insurance Company Plan of Exchange Act,Sections 44-248 to 44-255 shall be known and may be cited as the Insurance Company Plan of Exchange Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-248
44-2720,"Act, how cited.",Nebraska Life and Health Insurance Guaranty Association Act,Sections 44-2701 to 44-2720 shall be known and may be cited as the Nebraska Life and Health Insurance Guaranty Association Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-2720
44-2855,"Act, how cited.",Nebraska Hospital-Medical Liability Act,Sections 44-2801 to 44-2855 shall be known and may be cited as the Nebraska Hospital-Medical Liability Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-2855
44-2918,"Act, how cited.",Nebraska Hospital and Physicians Mutual Insurance Association Act,Sections 44-2901 to 44-2918 shall be known and may be cited as the Nebraska Hospital and Physicians Mutual Insurance Association Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-2918
44-3001,"Act, how cited.",Unclaimed Life Insurance Benefits Act,Sections 44-3001 to 44-3006 shall be known and may be cited as the Unclaimed Life Insurance Benefits Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-3001
44-3101,"Act, how cited.",Nebraska Professional Association Mutual Insurance Company Act,Sections 44-3101 to 44-3112 shall be known and may be cited as the Nebraska Professional Association Mutual Insurance Company Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-3101
44-3292,"Act, how cited.",Health Maintenance Organization Act,"Sections 44-3292 to 44-32,180 shall be known and may be cited as the Health Maintenance Organization Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=44-3292
44-3401,"Act, how cited.","Nebraska Life, Sickness and Accident Insurance Policy Readability Act","Sections 44-3401 to 44-3408 shall be known and may be cited as the Nebraska Life, Sickness and Accident Insurance Policy Readability Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=44-3401
44-3520,"Act, how cited.",Motor Vehicle Service Contract Reimbursement Insurance Act,Sections 44-3520 to 44-3527 shall be known and may be cited as the Motor Vehicle Service Contract Reimbursement Insurance Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-3520
44-3601,"Act, how cited.",Medicare Supplement Insurance Minimum Standards Act,Sections 44-3601 to 44-3614 shall be known and may be cited as the Medicare Supplement Insurance Minimum Standards Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-3601
44-3701,"Act, how cited.",Motor Club Services Act,Sections 44-3701 to 44-3721 shall be known and may be cited as the Motor Club Services Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-3701
44-4047,"Act, how cited.",Insurance Producers Licensing Act,Sections 44-4047 to 44-4069 shall be known and may be cited as the Insurance Producers Licensing Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=44-4047
